soil_moisture,temperature,humidity,rainfall,rain_probability,wind_speed,soil_type,crop_type,growth_stage,prev_irrigation,hours_since_irrigation,irrigation_required,water_quantity,duration_minutes,risk_level
57.03,38.76,67.38,0.26,87.4,36.8,Sandy,Tomato,Vegetative,8.3,58.0,0,0.0,0.0,Medium
52.31,26.09,55.45,4.13,3.7,10.1,Loamy,Groundnut,Fruiting,26.9,36.8,0,0.0,0.0,Low
23.34,21.24,61.99,5.51,8.9,21.4,Sandy,Groundnut,Maturity,10.3,34.1,1,5.0,4.3,Medium
72.02,31.56,49.0,1.23,90.0,24.3,Loamy,Sugarcane,Germination,14.9,23.8,0,0.0,0.0,Low
88.3,30.52,50.51,12.12,11.2,15.9,Sandy,Sugarcane,Flowering,26.0,58.8,0,0.0,0.0,Low
67.72,31.61,62.11,0.99,76.9,7.5,Sandy,Tomato,Vegetative,12.8,36.5,0,0.0,0.0,Low
53.33,25.34,64.24,1.38,45.4,21.9,Clay,Maize,Fruiting,6.1,49.3,0,0.0,0.0,Medium
62.83,39.99,92.55,0.4,73.1,37.5,Sandy,Tomato,Maturity,2.0,53.4,0,0.0,0.0,Medium
83.04,19.32,80.59,3.28,52.3,14.4,Silty,Sugarcane,Flowering,11.8,58.8,0,0.0,0.0,Low
76.0,37.77,57.87,0.79,90.0,15.4,Peaty,Tomato,Germination,27.2,44.9,0,0.0,0.0,Medium
85.94,37.23,63.91,18.21,75.2,28.3,Sandy,Maize,Fruiting,4.3,14.7,0,0.0,0.0,Medium
24.2,18.88,83.1,0.41,39.7,31.9,Sandy,Wheat,Maturity,6.9,52.0,1,8.3,6.3,High
21.38,43.48,31.72,2.65,50.6,24.5,Loamy,Tomato,Vegetative,26.2,67.1,1,22.2,15.1,High
69.44,26.1,24.93,0.24,10.4,33.6,Sandy,Wheat,Fruiting,3.7,17.0,0,0.0,0.0,Low
68.9,26.36,76.22,0.69,78.8,24.1,Clay,Sugarcane,Maturity,12.4,62.2,0,0.0,0.0,Low
49.39,28.72,36.45,1.81,14.1,7.1,Loamy,Tomato,Flowering,12.6,65.9,1,7.5,3.0,Medium
73.65,24.39,50.38,1.67,80.0,14.0,Sandy,Maize,Germination,18.7,27.2,0,0.0,0.0,Low
49.45,31.26,53.53,1.54,56.0,6.2,Clay,Rice,Vegetative,25.9,68.1,1,16.2,8.9,Medium
49.63,22.15,70.61,0.06,10.4,32.0,Sandy,Rice,Flowering,19.6,17.1,1,14.7,8.6,High
58.58,34.67,35.84,1.04,89.6,0.5,Silty,Tomato,Fruiting,6.2,1.9,0,0.0,0.0,Medium
30.95,25.13,81.4,1.35,3.4,33.2,Peaty,Groundnut,Fruiting,23.2,26.1,1,6.9,3.8,Medium
59.93,15.7,39.34,2.34,63.3,10.3,Sandy,Tomato,Vegetative,25.0,70.9,0,0.0,0.0,Low
55.81,30.28,74.14,0.34,14.0,10.5,Peaty,Rice,Germination,22.0,18.1,1,7.3,4.3,Medium
66.67,27.62,46.91,9.56,18.4,3.6,Silty,Maize,Vegetative,2.0,60.3,0,0.0,0.0,Low
82.3,29.37,41.39,2.33,16.2,33.7,Loamy,Sugarcane,Maturity,28.7,11.1,0,0.0,0.0,Low
44.39,27.97,73.22,2.74,46.0,3.0,Sandy,Rice,Germination,0.1,69.7,1,8.6,4.6,High
43.73,41.88,68.32,3.54,5.2,26.8,Peaty,Rice,Germination,17.6,72.0,1,13.5,6.8,High
60.72,42.59,92.61,8.66,47.4,34.5,Sandy,Groundnut,Flowering,9.6,59.7,0,0.0,0.0,Medium
47.15,30.11,53.44,1.55,57.2,32.2,Clay,Wheat,Maturity,19.8,53.1,0,0.0,0.0,Low
57.67,41.53,22.74,6.23,52.9,37.6,Loamy,Cotton,Flowering,29.9,25.3,0,0.0,0.0,Medium
68.18,17.95,46.03,2.22,73.2,0.1,Sandy,Cotton,Vegetative,8.9,61.4,0,0.0,0.0,Low
76.6,18.56,49.32,0.4,95.6,31.9,Peaty,Rice,Germination,17.7,70.7,0,0.0,0.0,Low
67.46,39.54,29.31,0.14,38.4,1.5,Peaty,Cotton,Maturity,24.8,57.7,0,0.0,0.0,Medium
73.95,44.39,33.82,1.51,75.8,27.8,Clay,Rice,Fruiting,24.5,16.2,0,0.0,0.0,Medium
17.61,26.66,40.52,1.94,4.4,34.1,Clay,Wheat,Germination,9.9,67.1,1,19.5,10.8,High
46.24,18.89,87.29,14.29,6.2,35.3,Peaty,Wheat,Fruiting,27.2,41.1,0,0.0,0.0,Low
26.3,19.79,31.95,1.22,23.9,37.2,Silty,Tomato,Germination,21.0,13.6,1,15.9,10.6,High
74.19,40.61,57.91,0.02,28.7,24.7,Silty,Wheat,Vegetative,19.0,18.7,0,0.0,0.0,Medium
93.23,44.21,45.13,3.0,93.2,4.1,Loamy,Sugarcane,Germination,20.6,4.9,0,0.0,0.0,Medium
84.43,29.62,24.91,0.23,85.2,39.6,Sandy,Sugarcane,Vegetative,13.4,46.6,0,0.0,0.0,Low
51.39,19.91,55.43,8.66,10.2,34.2,Loamy,Tomato,Vegetative,24.8,21.5,0,0.0,0.0,Medium
86.94,40.87,92.82,0.1,73.1,36.4,Clay,Cotton,Flowering,28.9,54.7,0,0.0,0.0,Medium
92.95,16.15,69.24,1.38,86.4,18.9,Peaty,Wheat,Flowering,5.6,62.5,0,0.0,0.0,Low
71.38,15.99,79.94,1.05,91.2,38.7,Loamy,Sugarcane,Fruiting,13.9,0.1,0,0.0,0.0,Low
44.36,23.31,80.03,1.11,45.5,0.5,Silty,Rice,Maturity,11.8,34.6,1,13.8,6.7,High
79.86,29.42,27.97,0.83,98.7,5.7,Sandy,Sugarcane,Flowering,18.5,50.6,0,0.0,0.0,Low
50.91,17.54,82.28,1.33,32.2,39.1,Sandy,Rice,Maturity,20.8,59.1,1,5.0,3.1,Medium
82.79,43.2,90.76,2.94,78.3,24.5,Sandy,Rice,Vegetative,19.8,39.8,0,0.0,0.0,Medium
30.26,36.9,63.5,3.15,47.9,24.6,Loamy,Cotton,Flowering,14.1,53.6,1,14.6,8.6,Medium
47.14,20.55,71.13,0.22,3.1,10.3,Clay,Tomato,Fruiting,26.0,52.4,1,7.2,5.9,Medium
95.13,26.66,64.32,2.73,79.3,26.2,Loamy,Cotton,Maturity,8.5,25.9,0,0.0,0.0,Low
75.06,38.24,51.2,2.76,63.3,14.9,Sandy,Maize,Flowering,12.4,5.0,0,0.0,0.0,Medium
75.3,32.32,32.13,1.49,96.9,10.3,Sandy,Groundnut,Fruiting,9.8,55.7,0,0.0,0.0,Low
62.25,25.73,82.36,1.69,24.9,24.7,Loamy,Tomato,Maturity,5.0,12.1,0,0.0,0.0,Low
12.58,18.18,40.24,0.18,53.1,37.5,Silty,Cotton,Flowering,3.7,32.6,1,35.5,21.1,High
50.02,28.77,71.08,0.05,32.3,38.9,Silty,Wheat,Maturity,7.6,37.6,0,0.0,0.0,Low
93.04,28.6,85.26,0.58,69.3,33.5,Sandy,Maize,Maturity,20.5,35.8,0,0.0,0.0,Low
61.83,43.36,72.0,3.39,21.6,26.4,Silty,Rice,Flowering,19.5,7.7,1,11.2,6.5,High
26.49,39.71,76.75,4.8,43.6,32.7,Silty,Maize,Flowering,16.3,0.4,1,30.2,17.0,High
19.29,32.95,59.72,1.76,1.5,23.5,Peaty,Cotton,Germination,19.3,54.7,1,14.5,8.7,Medium
63.62,43.44,21.23,0.65,0.8,25.9,Loamy,Groundnut,Fruiting,7.3,66.7,0,0.0,0.0,Medium
56.13,23.48,43.32,4.87,53.9,12.5,Silty,Maize,Maturity,21.5,19.6,0,0.0,0.0,Low
47.53,32.06,39.51,9.88,48.4,32.2,Peaty,Wheat,Germination,1.3,45.6,0,0.0,0.0,Low
84.14,22.11,35.76,2.83,41.1,33.6,Peaty,Sugarcane,Fruiting,10.6,17.1,0,0.0,0.0,Low
67.78,37.84,30.76,1.65,15.3,9.4,Sandy,Wheat,Vegetative,14.2,38.5,0,0.0,0.0,Medium
28.47,22.45,49.13,2.71,49.7,39.5,Silty,Tomato,Flowering,20.9,29.1,1,32.3,18.8,High
50.37,20.86,44.67,0.77,35.5,2.8,Sandy,Maize,Fruiting,2.0,57.6,1,5.5,3.5,Medium
89.34,28.75,34.33,0.16,37.8,14.5,Silty,Sugarcane,Maturity,13.4,24.0,0,0.0,0.0,Low
57.92,17.57,53.62,4.23,34.8,26.6,Sandy,Groundnut,Vegetative,27.8,16.9,0,0.0,0.0,Low
71.74,22.19,69.79,0.29,25.7,31.5,Silty,Maize,Fruiting,18.3,36.5,0,0.0,0.0,Low
45.17,31.64,42.86,1.52,44.7,24.0,Clay,Wheat,Germination,27.6,35.8,0,0.0,0.0,Low
61.68,38.95,43.55,0.25,40.3,6.9,Loamy,Tomato,Flowering,10.4,70.2,1,6.0,4.1,Medium
50.52,43.78,81.96,3.29,12.2,19.1,Silty,Maize,Flowering,7.0,5.8,1,6.2,3.3,High
52.26,18.15,67.78,0.73,62.0,26.0,Loamy,Cotton,Maturity,1.8,56.2,0,0.0,0.0,Low
75.61,20.62,72.08,2.89,63.3,9.2,Silty,Rice,Flowering,6.6,12.5,0,0.0,0.0,Low
26.3,27.03,69.93,1.31,52.6,19.3,Peaty,Wheat,Fruiting,11.6,69.4,1,14.1,8.1,Medium
13.67,24.5,82.34,2.98,19.9,2.6,Peaty,Groundnut,Germination,11.1,19.1,1,12.8,7.7,High
59.47,24.62,75.26,1.94,37.6,15.8,Silty,Sugarcane,Vegetative,23.6,64.2,1,5.8,3.0,Medium
26.96,28.47,37.07,6.61,45.1,35.3,Loamy,Tomato,Flowering,29.6,31.9,1,29.7,18.6,High
76.52,36.91,46.1,1.06,35.0,31.0,Peaty,Rice,Fruiting,5.6,12.5,0,0.0,0.0,Medium
42.76,23.67,78.16,2.94,38.2,8.2,Silty,Sugarcane,Germination,18.5,55.8,1,13.4,8.5,High
21.09,42.5,59.22,2.88,15.7,1.7,Peaty,Wheat,Maturity,18.0,6.8,1,13.0,5.7,High
90.86,34.74,41.37,5.08,86.1,33.9,Clay,Cotton,Germination,7.6,54.4,0,0.0,0.0,Medium
40.72,24.32,77.23,0.94,54.0,29.1,Silty,Sugarcane,Flowering,20.6,6.6,1,25.4,15.8,High
73.77,19.71,27.2,2.58,87.7,17.4,Clay,Rice,Flowering,16.7,58.4,0,0.0,0.0,Low
79.99,34.75,43.48,4.07,81.5,24.6,Clay,Cotton,Vegetative,11.3,38.8,0,0.0,0.0,Medium
80.22,38.12,71.19,4.24,84.2,18.8,Sandy,Sugarcane,Vegetative,3.7,27.7,0,0.0,0.0,Medium
54.27,26.8,51.72,3.57,0.3,24.8,Clay,Sugarcane,Vegetative,23.8,6.7,1,8.8,7.8,Medium
80.77,33.23,21.47,1.17,63.6,6.0,Loamy,Cotton,Vegetative,22.4,70.7,0,0.0,0.0,Medium
67.64,18.51,75.13,0.81,37.1,2.5,Peaty,Tomato,Fruiting,23.0,52.8,0,0.0,0.0,Low
30.46,25.95,62.98,2.66,18.4,14.5,Clay,Groundnut,Fruiting,0.8,1.7,1,16.4,9.3,Medium
45.97,40.28,36.89,1.42,46.2,19.2,Clay,Maize,Vegetative,28.1,50.8,1,7.4,4.6,High
66.28,23.31,39.62,0.85,90.6,10.0,Silty,Maize,Vegetative,22.8,32.4,0,0.0,0.0,Low
57.42,31.75,46.22,1.14,77.2,3.5,Loamy,Cotton,Vegetative,22.0,39.5,0,0.0,0.0,Low
78.95,22.48,68.66,0.66,56.5,18.6,Loamy,Maize,Maturity,18.3,25.2,0,0.0,0.0,Low
42.81,44.76,37.26,1.55,54.3,31.7,Sandy,Groundnut,Germination,18.4,16.3,0,0.0,0.0,Medium
67.75,28.68,50.48,3.16,54.5,2.5,Loamy,Rice,Vegetative,24.2,33.1,0,0.0,0.0,Medium
88.97,37.68,58.86,0.69,87.8,35.2,Loamy,Cotton,Fruiting,7.2,32.5,0,0.0,0.0,Medium
39.61,26.58,27.27,1.75,19.6,7.5,Silty,Sugarcane,Germination,10.7,54.5,1,16.9,9.2,High
91.7,28.45,62.51,0.54,61.3,14.5,Loamy,Sugarcane,Vegetative,5.1,36.5,0,0.0,0.0,Low
38.87,39.07,92.2,5.83,11.8,29.6,Peaty,Tomato,Fruiting,29.7,34.9,1,10.8,6.8,High
88.82,36.92,87.43,0.25,73.1,7.5,Sandy,Tomato,Fruiting,24.6,38.9,0,0.0,0.0,Medium
16.69,22.39,81.75,6.36,52.5,9.8,Sandy,Cotton,Maturity,2.6,51.8,1,9.3,6.4,High
81.85,40.4,55.09,11.6,63.4,5.1,Sandy,Tomato,Germination,9.8,49.4,0,0.0,0.0,Medium
34.2,41.25,36.34,1.34,6.9,30.5,Clay,Groundnut,Fruiting,22.8,65.1,1,8.0,5.5,High
44.96,26.48,48.88,0.77,38.2,5.2,Clay,Tomato,Flowering,24.1,34.5,1,12.7,7.3,Medium
26.92,34.1,59.67,3.02,45.0,8.7,Sandy,Maize,Flowering,2.1,19.0,1,17.2,10.4,High
82.08,23.8,75.78,0.15,90.3,34.1,Clay,Maize,Germination,17.8,64.2,0,0.0,0.0,Low
41.51,30.1,24.43,5.34,59.9,4.6,Loamy,Sugarcane,Maturity,27.3,48.2,1,13.3,8.6,High
80.01,41.52,54.34,2.8,63.1,23.7,Sandy,Cotton,Flowering,7.1,36.9,0,0.0,0.0,Medium
36.36,36.89,57.93,3.02,7.1,10.2,Loamy,Wheat,Flowering,14.2,3.3,1,7.5,4.1,Medium
21.27,21.24,58.66,0.02,0.8,8.8,Peaty,Tomato,Fruiting,3.2,24.4,1,26.7,17.4,High
60.86,39.99,59.52,6.36,57.5,1.2,Sandy,Maize,Germination,1.3,32.4,0,0.0,0.0,Medium
55.87,33.51,43.07,5.21,95.5,32.8,Peaty,Maize,Maturity,19.1,3.7,0,0.0,0.0,Medium
57.21,18.17,65.39,2.39,90.0,16.2,Silty,Groundnut,Vegetative,22.5,29.7,0,0.0,0.0,Low
83.99,15.08,66.86,7.34,61.3,34.9,Clay,Tomato,Maturity,3.6,65.0,0,0.0,0.0,Low
43.62,42.64,80.67,0.73,46.7,32.7,Peaty,Rice,Vegetative,11.6,61.3,1,15.9,8.8,High
75.36,39.19,81.19,5.85,91.7,17.2,Silty,Sugarcane,Fruiting,17.5,26.7,0,0.0,0.0,Medium
33.48,16.47,77.81,8.79,34.0,20.7,Peaty,Cotton,Fruiting,0.2,27.8,0,0.0,0.0,Medium
92.9,40.28,63.46,2.46,10.5,6.7,Peaty,Rice,Vegetative,6.9,70.4,0,0.0,0.0,Medium
70.05,26.08,42.88,0.48,48.8,5.2,Clay,Tomato,Vegetative,11.1,27.0,0,0.0,0.0,Low
36.29,45.19,41.95,9.74,38.9,15.4,Silty,Wheat,Germination,16.2,11.1,0,0.0,0.0,High
33.51,39.65,73.46,0.59,50.7,27.1,Clay,Tomato,Vegetative,24.9,39.2,1,20.5,12.6,High
70.04,41.48,66.89,2.53,62.1,8.1,Sandy,Maize,Flowering,1.2,34.2,0,0.0,0.0,Medium
69.06,31.54,24.16,3.43,46.7,1.4,Peaty,Cotton,Flowering,28.5,36.9,0,0.0,0.0,Low
62.34,23.77,35.52,4.3,38.7,20.5,Loamy,Sugarcane,Fruiting,17.3,62.3,1,5.5,3.6,Medium
24.93,15.77,68.24,1.06,24.0,12.5,Sandy,Groundnut,Fruiting,0.9,70.0,1,7.9,5.5,Medium
63.63,24.57,75.07,2.26,79.3,39.6,Silty,Maize,Vegetative,29.8,6.5,0,0.0,0.0,Low
53.12,36.55,41.34,3.49,2.4,12.2,Loamy,Tomato,Germination,19.0,41.5,1,5.0,3.0,Medium
79.05,17.38,49.45,1.05,23.2,11.2,Silty,Sugarcane,Vegetative,27.9,29.2,0,0.0,0.0,Low
67.76,32.77,47.23,3.13,12.3,35.5,Peaty,Rice,Maturity,13.5,42.2,1,5.0,3.0,Medium
25.97,39.12,61.92,2.2,14.3,31.0,Silty,Cotton,Maturity,14.9,20.5,1,12.0,6.3,High
46.63,25.47,90.61,0.26,93.1,33.1,Loamy,Groundnut,Germination,16.9,62.4,0,0.0,0.0,Low
49.89,42.05,48.39,9.98,8.9,27.5,Peaty,Tomato,Flowering,11.6,45.6,0,0.0,0.0,High
70.0,35.58,90.64,0.94,47.5,25.4,Clay,Cotton,Germination,3.1,35.9,0,0.0,0.0,Medium
71.54,26.07,24.26,4.38,41.7,32.9,Loamy,Tomato,Flowering,6.4,47.3,0,0.0,0.0,Low
56.55,26.6,89.89,0.4,73.7,39.0,Peaty,Maize,Vegetative,20.5,33.7,0,0.0,0.0,Low
21.27,16.02,28.32,2.18,26.8,33.4,Clay,Tomato,Maturity,11.4,24.3,1,24.5,12.1,High
33.26,15.79,49.15,4.31,45.5,10.7,Sandy,Tomato,Fruiting,3.9,61.7,1,11.5,6.1,Medium
37.88,38.64,58.05,1.28,37.2,0.1,Peaty,Maize,Germination,19.4,70.1,1,7.6,4.8,High
55.15,43.37,66.24,1.92,6.0,26.9,Peaty,Tomato,Germination,29.7,17.2,1,5.0,5.1,High
81.7,22.23,34.1,0.46,62.2,31.3,Sandy,Sugarcane,Germination,4.4,58.4,0,0.0,0.0,Low
82.86,30.66,24.19,3.51,69.0,37.2,Silty,Rice,Fruiting,6.9,3.2,0,0.0,0.0,Low
72.23,35.02,25.94,0.96,80.7,18.4,Peaty,Wheat,Vegetative,13.0,3.2,0,0.0,0.0,Medium
73.66,20.69,91.44,15.79,71.2,39.2,Silty,Cotton,Germination,7.8,31.5,0,0.0,0.0,Low
56.37,15.74,82.08,3.95,35.5,27.9,Loamy,Sugarcane,Vegetative,28.6,69.6,1,7.8,4.4,Medium
59.94,32.22,77.65,2.07,1.2,0.4,Clay,Rice,Fruiting,27.8,16.5,1,8.5,3.8,Medium
43.99,15.92,56.12,3.26,11.9,11.6,Peaty,Tomato,Flowering,27.6,71.5,1,6.4,3.0,Medium
84.92,44.53,49.35,2.56,41.6,33.9,Sandy,Sugarcane,Vegetative,26.3,70.2,0,0.0,0.0,Medium
80.58,35.05,37.58,1.69,71.9,22.5,Sandy,Rice,Vegetative,9.8,60.5,0,0.0,0.0,Medium
61.03,29.14,35.45,2.68,18.6,13.3,Loamy,Groundnut,Fruiting,6.2,5.1,0,0.0,0.0,Low
51.98,35.5,77.32,3.19,15.2,35.0,Peaty,Tomato,Fruiting,8.5,30.6,1,5.5,3.0,Medium
56.2,24.05,74.42,3.07,41.6,30.4,Silty,Tomato,Fruiting,26.9,58.9,0,0.0,0.0,Low
44.6,44.58,75.77,1.5,59.1,26.4,Clay,Rice,Fruiting,16.3,51.1,1,30.4,17.7,High
65.16,31.69,78.33,3.7,17.2,38.9,Clay,Rice,Maturity,4.8,13.0,1,5.0,3.0,Medium
40.12,40.95,72.44,3.9,56.2,37.9,Silty,Cotton,Maturity,11.4,11.7,0,0.0,0.0,High
52.34,32.94,82.92,0.31,55.9,20.0,Clay,Cotton,Vegetative,16.0,38.9,0,0.0,0.0,Medium
83.36,43.57,37.22,6.34,80.9,27.1,Peaty,Sugarcane,Flowering,9.5,58.8,0,0.0,0.0,Medium
32.97,15.16,70.48,0.16,54.9,11.5,Clay,Wheat,Flowering,10.6,44.7,1,14.0,9.6,Medium
76.07,28.14,72.17,1.21,5.7,15.0,Sandy,Tomato,Vegetative,19.3,48.3,0,0.0,0.0,Low
16.31,42.83,88.79,0.03,45.0,39.1,Peaty,Cotton,Vegetative,16.4,70.5,1,17.8,9.3,High
87.19,32.95,58.56,4.04,63.1,22.0,Silty,Rice,Flowering,4.3,42.9,0,0.0,0.0,Medium
80.34,15.76,92.51,0.87,67.6,28.3,Loamy,Tomato,Maturity,9.4,19.5,0,0.0,0.0,Low
89.38,28.32,66.23,0.72,93.9,0.3,Clay,Rice,Vegetative,18.8,26.9,0,0.0,0.0,Low
93.65,43.47,49.86,5.49,18.9,26.9,Silty,Rice,Flowering,3.1,0.6,0,0.0,0.0,Medium
78.98,27.73,39.58,1.71,72.3,0.4,Peaty,Tomato,Germination,18.4,45.9,0,0.0,0.0,Low
22.35,15.39,26.23,7.26,35.5,17.0,Sandy,Groundnut,Germination,17.9,42.8,1,5.6,3.0,Medium
27.92,38.49,50.31,2.16,25.3,39.5,Clay,Cotton,Maturity,23.1,30.8,1,13.6,7.6,High
74.88,30.1,59.47,0.47,78.4,16.8,Silty,Tomato,Vegetative,23.6,43.1,0,0.0,0.0,Low
76.31,29.42,89.6,0.33,76.4,16.4,Peaty,Groundnut,Flowering,7.8,11.5,0,0.0,0.0,Low
25.36,39.36,20.31,7.75,44.3,22.1,Clay,Cotton,Flowering,22.3,5.5,1,25.0,15.1,High
24.5,26.45,39.18,0.79,31.9,36.1,Silty,Maize,Vegetative,24.9,25.1,1,26.6,16.1,High
35.86,28.89,49.91,3.84,38.5,19.6,Sandy,Groundnut,Maturity,22.2,62.1,1,5.0,4.5,Medium
68.3,36.77,85.69,0.39,63.5,23.3,Sandy,Sugarcane,Flowering,6.4,22.4,0,0.0,0.0,Medium
73.01,32.01,51.06,1.68,54.1,27.9,Silty,Sugarcane,Flowering,5.2,36.0,0,0.0,0.0,Low
46.28,36.11,57.69,8.11,43.9,39.2,Peaty,Wheat,Maturity,3.4,55.1,0,0.0,0.0,Medium
63.58,31.19,67.04,3.5,25.3,0.4,Peaty,Tomato,Flowering,16.1,60.2,1,6.0,4.0,Low
75.96,39.76,50.52,1.99,1.3,16.4,Peaty,Rice,Flowering,0.5,20.2,1,6.0,3.5,Medium
28.22,39.06,52.2,17.62,55.9,12.8,Loamy,Wheat,Maturity,10.5,26.8,0,0.0,0.0,High
70.59,16.19,46.96,7.95,37.9,33.3,Silty,Tomato,Fruiting,11.2,45.5,0,0.0,0.0,Low
61.69,19.27,70.49,2.91,74.2,6.8,Loamy,Maize,Fruiting,26.7,54.0,0,0.0,0.0,Low
62.44,41.44,63.23,3.0,15.6,19.0,Peaty,Tomato,Vegetative,8.1,14.6,0,0.0,0.0,Medium
38.26,37.77,62.21,2.64,13.4,17.8,Loamy,Cotton,Fruiting,28.8,31.0,1,5.5,4.9,Medium
57.86,39.99,54.41,0.98,65.5,33.0,Sandy,Maize,Maturity,23.3,59.2,1,5.0,3.0,Medium
57.62,41.23,38.58,2.44,3.9,26.7,Peaty,Rice,Maturity,26.9,63.9,1,6.8,4.8,High
94.42,44.89,44.48,4.14,80.7,34.3,Peaty,Sugarcane,Flowering,7.2,2.9,0,0.0,0.0,Medium
85.42,34.95,38.41,0.04,76.4,24.9,Clay,Tomato,Fruiting,1.2,60.3,0,0.0,0.0,Medium
83.65,32.66,63.47,14.03,75.7,17.7,Peaty,Maize,Maturity,11.7,16.5,0,0.0,0.0,Low
